1,4,2,Amsterdam,Nothing But Thieves
2,1,2,Wall Of Glass,Liam Gallagher
3,3,2,Everything Now,Arcade Fire
4,8,2,California,Mallory Knox
5,6,2,Run,Foo Fighters
6,2,2,Dig Down,Muse
7,13,2,Freeze Me,Death From Above 1979
8,10,2,Ill Ray (The King),Kasabian
9,7,2,I Only Lie When I Love You,Royal Blood
10,,1,Higher,Eliza and the Bear
11,,1,Robbers,Youngblood Hawke
12,9,2,Holding On,The War On Drugs
13,5,2,Don't Matter Now,George Ezra
14,,1,Revolution Radio,Green Day
15,11,2,"Hook, Line & Sinker",Royal Blood
16,,1,Holidaze,Cold Fronts
17,,1,All Things Pass,The Jesus and Mary Chain
18,12,2,I Promise,Radiohead
19,16,2,The Man,Killers
20,17,2,Was It Really Worth It?,The Sherlocks
21,19,2,Creature Comfort,Arcade Fire
22,15,2,All I Want,Ride
23,,1,Call Me Out,Sea Girls
24,,1,Do You Wanna?,M I S F I R E S
25,18,2,Wallflowers,The Chain Gang Of 1974
26,20,2,The Way You Used To Do,Queens Of The Stone Age
27,,1,Honest,False Advertising
28,14,2,Call The Police,LCD Soundsystem
29,,1,GIRLS GIRLS,Icona Pop
30,,1,Not All Heroes Wear Capes,Owl City
