1,Signs Of Life,Arcade Fire
2,California,Mallory Knox
3,Run,Foo Fighters
4,The Fat Man,"Paul Heaton, Jacqui Abbott"
5,Robbers,Youngblood Hawke
6,Amsterdam,Nothing But Thieves
7,Revolution Radio,Green Day
8,Everything Now,Arcade Fire
9,Freeze Me,Death From Above 1979
10,Wall Of Glass,Liam Gallagher
11,Higher,Eliza and the Bear
12,Dig Down,Muse
13,Show Me The Science,The Blizzards
14,What Equals Love,Maximo Park
15,Never Slow Down,Livingmore
16,World On Fire,INHEAVEN
17,Ill Ray (The King),Kasabian
18,Holding On,The War On Drugs
19,Imagination,Ramon Miles
20,The Man,Killers
21,Listen To Your Heart,Starsailor
22,Barcelona Girl,Corella
23,Man Of War,Radiohead
24,Pumping Up Clouds,Urban Cone
25,Half,Pvris
26,Was It Really Worth It?,The Sherlocks
27,Motion Sickness,Neck Deep
28,Found What I've Been Looking For,Tom Grennan
29,Don't Kill My Vibe,Sigrid
30,I Only Lie When I Love You,Royal Blood

--,18,"Hook, Line & Sinker",Royal Blood
--,21,All Things Pass,The Jesus and Mary Chain
--,22,Holidaze,Cold Fronts
--,24,Behind Closed Doors,The Strypes
--,25,Take Me Back Home,Coasts
--,28,Somebody Else,Circa Waves
--,29,The Outfield,The Night Game
--,30,Don't Matter Now,George Ezra
